Time,ID,Age,Red,Green,Blue
1,1,1,0,0,255.0
1,2,1,127.5,0,127.5
2,1,2,0,0,255.0
2,2,2,127.5,0,127.5
2,3,0,0,0,255.0
3,1,3,0,0,255.0
3,2,3,127.5,0,127.5
3,3,1,0,0,255.0
3,4,0,0,0,255.0
4,1,4,0,0,255.0
4,2,4,127.5,0,127.5
4,3,2,0,0,255.0
4,4,1,0,0,255.0
4,5,0,0,0,255.0
4,6,0,127.5,0,127.5
5,3,3,0,0,255.0
5,4,2,0,0,255.0
5,5,1,0,0,255.0
5,6,1,127.5,0,127.5
5,7,0,0,0,255.0
5,8,0,0,0,255.0
